ChimeraID	HostBGC	HostOrganism	HostCompound	DonorBGC	DonorOrganism	DonorProtein	DonorProduct	DonorLength	SwapPosition	AssemblySize	MeanDJCS	MinDJCS	MaxDJCS	MeanDeltaH	Rescued	RescueLinker	ProteinIDs
CHM_07886	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000345	Streptomyces hygroscopicus	AHB38511.1	EpnJ	658	2	3	99.7709	99.7485	99.7934	0.1017	False		ATEG_03629;ATEG_03630;AHB38511.1
CHM_07791	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0001971	Okeania hirsuta	AZH23821.1	MgiH	1681	0	3	99.7665	99.6992	99.8339	0.1017	False		AZH23821.1;ATEG_03630;ATEG_03635
CHM_02810	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0002480	Sphaerospermopsis sp. LEGE 00249	H5968_00850	non-ribosomal peptide synthetase (depsipeptide synthetase)	2325	1	3	99.7618	99.7161	99.8074	0.1033	False		HXS80_03335;H5968_00850;HXS80_03465
CHM_07902	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002324	Archangium violaceum	JQX13_35830	TonB-dependent siderophore myxochelin receptor MxcH	845	0	3	99.7601	99.6992	99.8209	0.1033	False		JQX13_35830;ATEG_03630;ATEG_03635
CHM_02869	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000105	Streptomyces nanchangensis	AAP42859.1	NanA5	3979	1	2	99.7485	99.7485	99.7485	0.1067	False		API82663.1;AAP42859.1
CHM_07806	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000967	uncultured Candidatus Entotheonella sp.	BAP05594.1	CalF	5858	0	3	99.739	99.6992	99.7789	0.1083	False		BAP05594.1;ATEG_03630;ATEG_03635
CHM_06066	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0000113	Streptomyces caelestis	AAC46026.1	polyketide synthase modules 4 and 5	3654	1	2	99.7325	99.7325	99.7325	0.11	False		AMIS_50350;AAC46026.1
CHM_09370	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000967	uncultured Candidatus Entotheonella sp.	BAP05595.1	CalG	5808	1	2	99.7325	99.7325	99.7325	0.11	False		AAA67509.1;BAP05595.1
CHM_09408	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0000034	Streptomyces sp. FR-008	AAQ82560.1	PabAB	723	1	2	99.7325	99.7325	99.7325	0.11	False		AAA67509.1;AAQ82560.1
CHM_05639	BGC0000252	Streptomyces griseus subsp. griseus	nonactin	BGC0000133	Amycolatopsis orientalis	AFI57007.1	QmnA3	1292	1	3	99.7228	99.481	99.9646	0.0967	False		AAD37452.1;AFI57007.1;AAC26134.1
CHM_02228	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0002137	Streptomyces sp. NRRL F-3213	IF70_RS33795	multifunctional oxoglutarate decarboxylase/oxoglutarate dehydrogenase thiamine pyrophosphate-binding subunit/dihydrolipoyllysine-residue succinyltransferase subunit	1227	1	3	99.7164	99.435	99.9978	0.085	False		AHN85651.1;IF70_RS33795;AHN85644.1
CHM_07935	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000117	Streptomyces avermitilis	BAB69194.1	modular polyketide synthase	3939	0	3	99.7159	99.6992	99.7325	0.1133	False		BAB69194.1;ATEG_03630;ATEG_03635
CHM_06085	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0001299	Sorangium cellulosum	ALD83711.1	hypothetical protein	559	0	2	99.6992	99.6992	99.6992	0.1167	False		ALD83711.1;AMIS_50690
CHM_05696	BGC0000252	Streptomyces griseus subsp. griseus	nonactin	BGC0000297	Planktothrix agardhii NIVA-CYA 126	CAM59606.1	non-ribosomal peptide synthetase	1622	1	3	99.6975	99.525	99.87	0.1117	False		AAD37452.1;CAM59606.1;AAC26134.1
CHM_09505	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0000122	Nannocystis pusilla	AHN85644.1	hypothetical protein	568	3	5	99.6931	99.3116	99.9998	0.0908	False		QKW94305.1;QKW94294.1;QKW94304.1;AHN85644.1;QKW94285.1
CHM_09655	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0002480	Sphaerospermopsis sp. LEGE 00249	H5968_00880	fatty acyl-AMP ligase	626	3	5	99.6874	99.481	99.9801	0.1075	False		QKW94305.1;QKW94294.1;QKW94304.1;H5968_00880;QKW94285.1
CHM_09418	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0002141	Streptomyces bottropensis DO-45	AKT74269.1	TxnP2	543	1	2	99.6818	99.6818	99.6818	0.12	False		AAA67509.1;AKT74269.1
CHM_09605	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0002141	Streptomyces bottropensis DO-45	AKT74269.1	TxnP2	543	3	5	99.6794	99.2588	99.9978	0.0942	False		QKW94305.1;QKW94294.1;QKW94304.1;AKT74269.1;QKW94285.1
CHM_09061	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0000345	Streptomyces hygroscopicus	AHB38511.1	EpnJ	658	1	3	99.6695	99.3871	99.9518	0.1067	False		AFJ52660.1;AHB38511.1;AFJ52700.1
CHM_02918	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0002480	Sphaerospermopsis sp. LEGE 00249	H5968_00855	polyketide synthase	1286	0	2	99.6639	99.6639	99.6639	0.1233	False		H5968_00855;API82664.1
CHM_07911	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0002137	Streptomyces sp. NRRL F-3213	IF70_RS33710	AMP-binding protein	617	0	3	99.6629	99.6266	99.6992	0.1233	False		IF70_RS33710;ATEG_03630;ATEG_03635
CHM_09384	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0002869	Streptomyces sp. CB04723	HXS80_03465	non-ribosomal peptide synthetase	919	1	2	99.6455	99.6455	99.6455	0.1267	False		AAA67509.1;HXS80_03465
CHM_07842	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000040	Streptomyces neyagawaensis	AAZ94389.1	modular polyketide synthase	3982	0	3	99.6433	99.5874	99.6992	0.1267	False		AAZ94389.1;ATEG_03630;ATEG_03635
CHM_05059	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0000297	Planktothrix agardhii NIVA-CYA 126	CAJ21199.2	hypothetical protein	736	1	3	99.6416	99.5671	99.7161	0.1267	False		QBE85643.1;CAJ21199.2;QBE85649.1
CHM_07814	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000163	Streptomyces longisporoflavus	ACR50785.1	polyketide synthase	5029	2	3	99.6372	99.481	99.7934	0.125	False		ATEG_03629;ATEG_03630;ACR50785.1
CHM_09640	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0002734	Aspergillus terreus NIH2624	ATEG_03630	predicted protein	1069	3	5	99.6347	99.1761	99.9801	0.1108	False		QKW94305.1;QKW94294.1;QKW94304.1;ATEG_03630;QKW94285.1
CHM_02879	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0000113	Streptomyces caelestis	AAC46027.1	polyketide synthase module 6	1569	1	2	99.6266	99.6266	99.6266	0.13	False		API82663.1;AAC46027.1
CHM_08445	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0002324	Archangium violaceum	JQX13_35820	myxochelin non-ribosomal peptide synthetase MxcG	1440	1	3	99.6185	99.4582	99.7789	0.1283	False		H5968_00850;JQX13_35820;H5968_00880
CHM_07794	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000133	Amycolatopsis orientalis	AFI57006.1	QmnA2	1771	0	3	99.6121	99.525	99.6992	0.1317	False		AFI57006.1;ATEG_03630;ATEG_03635
CHM_09680	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0000275	Streptomyces glaucescens	AAA67509.1	tetracenomycin C resistance and export protein	538	3	5	99.6078	99.0891	99.9801	0.115	False		QKW94305.1;QKW94294.1;QKW94304.1;AAA67509.1;QKW94285.1
CHM_09404	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001544	Aspergillus campestris IBT 28561	P168DRAFT_323099	hypothetical protein	2756	1	2	99.5874	99.5874	99.5874	0.1367	False		AAA67509.1;P168DRAFT_323099
CHM_02801	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0002734	Aspergillus terreus NIH2624	ATEG_03629	hypothetical protein	2590	1	3	99.5719	99.2854	99.8584	0.13	False		HXS80_03335;ATEG_03629;HXS80_03465
CHM_06058	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0001828	Streptomyces griseus	ANZ22985.1	ZinB	5136	1	2	99.5671	99.5671	99.5671	0.14	False		AMIS_50350;ANZ22985.1
CHM_08348	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09665	hybrid non-ribosomal peptide synthetase/type I polyketide synthase	4144	0	3	99.5667	99.2317	99.9017	0.1267	False		PluTT01m_09665;H5968_00855;H5968_00880
CHM_07871	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000252	Streptomyces griseus subsp. griseus	AAC26133.1	putative diester hydrolase	569	2	3	99.5653	99.3372	99.7934	0.135	False		ATEG_03629;ATEG_03630;AAC26133.1
CHM_02249	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0001162	Moorea producens JHB	AHH34188.1	fatty acyl ACP ligase	817	1	3	99.5586	99.2588	99.8584	0.1317	False		AHN85651.1;AHH34188.1;AHN85644.1
CHM_09016	BGC0001073	Micromonospora sp. TP-A0468	kosinostatin	BGC0001303	Micromonospora sp. RL09-050-HVF-A	ALA09381.1	serine/threonine protein kinase	504	1	3	99.5526	99.2588	99.8464	0.1333	False		AFJ52660.1;ALA09381.1;AFJ52700.1
CHM_08438	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0002734	Aspergillus terreus NIH2624	ATEG_03635	conserved hypothetical protein	705	0	3	99.5508	99.2317	99.87	0.1317	False		ATEG_03635;H5968_00855;H5968_00880
CHM_01982	BGC0002237	Aspergillus oryzae RIB40	dichlorodiaporthin	BGC0000163	Streptomyces longisporoflavus	ACR50792.1	putative acyl-CoA synthase	520	1	3	99.5493	99.1185	99.9801	0.115	False		AO090701000525;ACR50792.1;AO090701000530
CHM_07809	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000383	Photorhabdus laumondii subsp. laumondii TTO1	PluTT01m_09690	branched-chain alpha-keto acid dehydrogenase subunit E2	521	0	3	99.5431	99.3871	99.6992	0.1417	False		PluTT01m_09690;ATEG_03630;ATEG_03635
CHM_06096	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0002500	Streptomyces pactum	QPP46750.1	polyketide synthase	3070	1	2	99.525	99.525	99.525	0.1467	False		AMIS_50350;QPP46750.1
CHM_09565	BGC0002342	Myxococcus xanthus	myxofacycline C	BGC0000954	Chondromyces crocatus	CAQ18832.1	polyketide synthase	2178	3	5	99.5211	98.8022	99.9801	0.1267	False		QKW94305.1;QKW94294.1;QKW94304.1;CAQ18832.1;QKW94285.1
CHM_02780	BGC0002869	Streptomyces sp. CB04723	Tripmycin A	BGC0002141	Streptomyces bottropensis DO-45	AKT74287.1	TxnRr2	500	1	3	99.505	99.1185	99.8916	0.135	False		HXS80_03335;AKT74287.1;HXS80_03465
CHM_02932	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001069	Sorangium cellulosum	AAY89050.1	polyketide synthase	8417	0	2	99.5032	99.5032	99.5032	0.15	False		AAY89050.1;API82664.1
CHM_07585	BGC0002500	Streptomyces pactum	NFAT-133	BGC0000163	Streptomyces longisporoflavus	ACR50763.1	periplasmic beta-glucosidase	738	4	6	99.4937	98.1557	99.9754	0.1167	False		QPP46759.1;QPP46749.1;QPP46750.1;QPP46757.1;ACR50763.1;QPP46760.1
CHM_05014	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0000967	uncultured Candidatus Entotheonella sp.	BAP05597.1	CalI	2674	1	3	99.4935	99.0286	99.9584	0.1267	False		QBE85643.1;BAP05597.1;QBE85649.1
CHM_02168	BGC0000122	Nannocystis pusilla	phenylnannolone A	BGC0000954	Chondromyces crocatus	CAQ18832.1	polyketide synthase	2178	1	3	99.4902	99.0286	99.9518	0.1283	False		AHN85651.1;CAQ18832.1;AHN85644.1
CHM_08447	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000186	Burkholderia thailandensis E264	BTH_II1665	polyketide synthase, putative	4649	0	3	99.4821	99.2317	99.7325	0.1483	False		BTH_II1665;H5968_00855;H5968_00880
CHM_09426	BGC0000275	Streptomyces glaucescens	tetracenomycin C	BGC0001827	Sarocladium sp. 'schorii'	AWM95783.1	ABC transporter	1432	1	2	99.481	99.481	99.481	0.1533	False		AAA67509.1;AWM95783.1
CHM_07884	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000345	Streptomyces hygroscopicus	AHB38508.1	EpnF	599	0	3	99.479	99.2588	99.6992	0.15	False		AHB38508.1;ATEG_03630;ATEG_03635
CHM_08472	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001162	Moorea producens JHB	AHH34188.1	fatty acyl ACP ligase	817	1	3	99.4753	99.0591	99.8916	0.1383	False		H5968_00850;AHH34188.1;H5968_00880
CHM_08220	BGC0002324	Archangium violaceum	myxochelin B	BGC0002869	Streptomyces sp. CB04723	HXS80_03340	DHA2 family efflux MFS transporter permease subunit	516	1	3	99.4705	99.1476	99.7934	0.1467	False		JQX13_35810;HXS80_03340;JQX13_35830
CHM_07812	BGC0002734	Aspergillus terreus NIH2624	2,4-dihydroxy-5,6-dimethyl benzaldehyde	BGC0000163	Streptomyces longisporoflavus	ACR50782.1	polyketide synthase	1553	0	3	99.4655	99.2317	99.6992	0.1517	False		ACR50782.1;ATEG_03630;ATEG_03635
CHM_08385	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000038	Streptomyces coelicolor A3(2)	CAB60189.1	putative oxidoreductase alpha-subunit	630	1	3	99.4623	99.3372	99.5874	0.155	False		H5968_00850;CAB60189.1;H5968_00880
CHM_02908	BGC0001677	Penicillium roqueforti	mycophenolic acid	BGC0001005	Bacillus subtilis	AHI59105.1	L-glutamine-D-fructose-6-phosphate amidotransferase	600	0	2	99.4582	99.4582	99.4582	0.1567	False		AHI59105.1;API82664.1
CHM_06056	BGC0002021	Actinoplanes missouriensis 431	fogacin	BGC0000105	Streptomyces nanchangensis	AAP42873.1	NanA11	2187	1	2	99.4582	99.4582	99.4582	0.1567	False		AMIS_50350;AAP42873.1
CHM_05071	BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	BGC0001729	Penicillium brasilianum	BAV69312.1	PrhK	646	1	3	99.4495	98.9344	99.9646	0.13	False		QBE85643.1;BAV69312.1;QBE85649.1
CHM_08375	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0001828	Streptomyces griseus	ANZ22987.1	ZinD	3188	0	3	99.4478	99.2317	99.6639	0.155	False		ANZ22987.1;H5968_00855;H5968_00880
CHM_08474	BGC0002480	Sphaerospermopsis sp. LEGE 00249	chlorosphaerolactylate D	BGC0000117	Streptomyces avermitilis	BAB69198.1	modular polyketide synthase	1907	0	3	99.4478	99.2317	99.6639	0.155	False		BAB69198.1;H5968_00855;H5968_00880
CHM_05741	BGC0000252	Streptomyces griseus subsp. griseus	nonactin	BGC0002734	Aspergillus terreus NIH2624	ATEG_03635	conserved hypothetical protein	705	1	3	99.4446	98.9977	99.8916	0.1417	False		AAD37452.1;ATEG_03635;AAC26134.1
